,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Jaguar Health, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,0,Operator,,,"Good day, and welcome to the Jaguar Health Investor Call. Today's conference is being recorded."
1,"Jaguar Health, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,1,Operator,,,"Before I turn the call over to management, I'd like to remind you that management may make forward- looking statements relating to such matters as continued growth prospects for the company, uncertainties regarding market acceptance of products, the impact of competitive products and pricing, industry trends and product and technology initiatives, including products in the development stage, which may not achieve scientific objectives or meet stringent regulatory requirements. Forward-looking statements are subject to risks and uncertainties that could cause actual results to differ materially from those contemplated in such forward-looking statements. These statements are based on currently available information and management's current assumptions, expectations and projections about future events. While management believes that its assumptions, expectations and projections are reasonable in view of currently available information, you are cautioned not to place undue reliance on these forward-looking statements."
2,"Jaguar Health, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,2,Operator,,,"The company's actual results may differ materially from those discussed in this call for a variety of reasons, including those described in the forward-looking statements and Risk Factor sections of the company's Form 10-K for the year ending December 31, 2019, which was filed on April 3, 2020, and its other filings with the SEC, which are available on the Investor Relations section of Jaguar's website. Except as required by law, Jaguar Health undertakes no obligation to update or revise any forward-looking statements contained in this presentation to reflect new information, future events or otherwise."
3,"Jaguar Health, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,3,Operator,,,"Additionally, please note that the company supplements its condensed consolidated financial statements presented on a GAAP basis by providing gross sales, non-GAAP EBITDA and non-GAAP recurring EBITDA. Jaguar believes that the disclosure items of these non-GAAP measures provide investors with additional information that reflects the basis upon which company management assesses and operates the business. These non-GAAP financial measures should not be viewed in isolation or as substitutes for GAAP net sales and GAAP net loss and are not substitutes for or superior to measures of financial performance in conformity with GAAP."
4,"Jaguar Health, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,4,Operator,,,"At this time, it's my pleasure to turn the call over to Lisa Conte, Jaguar Health's President and Chief Executive Officer. Lisa, the floor is yours."
5,"Jaguar Health, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,5,Lisa A. Conte,"Founder, CEO, President & Director",EXECUTIVES,"Thank you -- thank you very much. We thank you all, who are on the phone, very much for joining our call today. My name is Lisa Conte. I am the founder and CEO of Jaguar Health and our wholly owned subsidiary, Napo Pharmaceuticals. I may use the name, Napo and Jaguar interchangeably throughout this call."
6,"Jaguar Health, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,6,Lisa A. Conte,"Founder, CEO, President & Director",EXECUTIVES,"First, I, of course, want to send my warmest wishes to everyone as we all navigate through these unprecedented times. We feel grateful to report that everyone at Jaguar and Napo are fine. We are all stuck at home, doing this call remotely. And as such, we will not be taking Q&A today. 1/3 of company has been together for over 10 to 25 years, 3 of us have been working together for over 30 years. That trusted familiarity and continuity allow us to work well together even when working remotely. Now we literally finish each other during sentences."
7,"Jaguar Health, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,7,Lisa A. Conte,"Founder, CEO, President & Director",EXECUTIVES,"Thirty years ago, we were in the middle of another pandemic, HIV/AIDS. And for Napo, we were on a mission to find naturally sourced plant-based medicines to meet urgent global health needs. We successfully brought Mytesi from a tree that we would possibly harvest from the Amazon rainforest to the first and only oral plant-based prescription medicine approved under botanical guidance by the FDA. Today, we find ourselves in the middle of the COVID-19 pandemic, working with the FDA to determine if"
8,"Jaguar Health, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,8,Lisa A. Conte,"Founder, CEO, President & Director",EXECUTIVES,Mytesi may be appropriate for emergency use authorization for symptomatic relief of diarrhea in patients with COVID-19.
9,"Jaguar Health, Inc., Q4 2019 Earnings Call, Apr 06, 2020",Presentation,9,Lisa A. Conte,"Founder, CEO, President & Director",EXECUTIVES,"Nearly 38 million people with HIV globally and nearly 25 million people use antiretroviral therapy based on data from UNAIDS at the end of June 2019. As a reminder, Mytesi is a first-in-class antisecretory agent, currently FDA-approved for the indication of symptomatic relief of noninfectious diarrhea in adult patients with HIV/AIDS on antiretroviral therapy."
