,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,0,Operator,,,"Good morning. My name is Nick, and I'll be your conference operator today. At this time, I'd like to welcome everyone to Lindsay Corporation Second Quarter Fiscal Year 2020 Earnings Call. [Operator Instructions] Please note, the event is being recorded."
1,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,1,Operator,,,"During this call, management may make forward-looking statements that are subject to risks and uncertainties, which reflect management's current beliefs, estimates of future economic circumstances, industry conditions, company performance and fiscal financial results. Forward-looking statements include the information concerning possible or assumed future results of operations of the company and those statements preceded by, followed by or including the words expectation, outlook, could, may, should or similar expressions. For these statements, we claim the protection of the safe harbor for forward-looking statements contained in the Private Securities Litigation Reform Act of 1995. I'd now like to turn the call over to Mr. Tim Hassinger, President and Chief Executive Officer. Please go ahead."
2,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,2,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"Good morning, and thank you for joining our call. With me on today's call is Brian Ketcham, our Chief Financial Officer. I feel it's prudent to mention that Brian and I are sitting together in a conference room more than 6 feet apart, adhering to social distancing guidelines."
3,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,3,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"This quarter, in the domestic irrigation business, we saw the resolution of various trade disputes that have been putting downward pressure on farmer sentiment. The market facilitation payments administered through the USDA did significantly contribute to farm income. However, commodity prices did not fundamentally change given the uncertainty that existed in China's expected commodity crop purchases. Until the recent COVID-19 impact, we had observed an incremental improvement in customer sentiment."
4,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,4,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"We continue to make progress on our innovation and collaboration strategies for FieldNET and FieldNET Advisor. Year-to-date, our penetration rates with our telemetry technology is up 50-plus percent versus the prior year. To enhance the opportunity for farmers to gain access to the Lindsay's telemetry technology and in this case, Pivot Watch, Lindsay will be offering this product on Amazon later this spring. Given the do-it-yourself nature of Pivot Watch, this option will enhance penetration with growers who want to go online to buy the product and install it themselves."
5,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,5,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"Also, in connection to our collaboration with Farmers Edge, they recently announced their 2020 smart water offering that includes access to FieldNET and FieldNET Advisor for their customer base. Early indications are positive based on their customer acceptance and feedback."
6,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,6,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"In the international irrigation business, the global project market remains active, but largely uncertain regarding timing. In Brazil, we continue to see growth, and we have made several investments to enhance our commercial capabilities."
7,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,7,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"For infrastructure, growth in the Road Zipper business continues to gain momentum. In this past quarter, we were awarded a contract from Highways England for supply of a movable barrier system for use in Kent, United Kingdom. Highways England plans for the entire system and related traffic management scheme to be fully operational by December 31, 2020. The total value of the contract as awarded is approximately $28 million."
8,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,8,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"Also, we have secured another order from our partner in Japan, Nexco East, for a new reactive tension barrier to use with their existing Road Zipper systems. That order value is approximately $10 million, and we will begin delivery in our fiscal third quarter. These are great examples that we are successfully addressing the need to grow this business and reduce the lumpiness."
9,"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,9,Timothy L. Hassinger,"President, CEO & Director",EXECUTIVES,"Last quarter, I shared that our overall sales funnel projects based on a 50% probability of success is at the highest level it has ever been, along with the number of machines being leased on target to be at the highest level ever as well."
