,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,0,Operator,,,"Good morning. The MGP call will be starting in a few moments. Please continue to hold. Again, the MGP call will be starting in a few moments. Thank you. Good morning, and welcome to the MGP Ingredients First Quarter 2020 Results Conference Call. All participants will be in a listen-only mode. [Operator Instructions] After today's presentation, there will be an opportunity to ask questions. [Operator Instructions] Please not this event is being recorded. I would now like to turn the conference over to Mike Houston, Investor Relations. Please go ahead."
1,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,1,Mike Houston,,EXECUTIVES,"Thank you, Danielle. Good morning, everyone, and thank you for joining the MGP Ingredients conference call and webcast to discuss the company's financial results for the first quarter 2020. I'm Mike Houston with Lambert and Company, MGP's Investor Relations firm, and joining me today are members of their management team, including Gus Griffin, Chief Executive Officer; Dave Colo, President and Chief Operating Officer; and Brandon Gall, Vice President of Finance and Chief Financial Officer. We will begin the call with management's prepared remarks, and then open the call up to questions."
2,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,2,Mike Houston,,EXECUTIVES,"However, before we begin today's call, it is my responsibility to inform you that this call may involve certain forward-looking statements, such as projections of revenue, earnings, and capital structure, as well as statements on the plans and objectives of the company's business. The company's actual results could differ materially from any forward-looking statements made today, due to a number of factors, including the risk factors described in the company's most recent annual and quarterly reports filed with the Securities and Exchange Commission. The company assumes no obligation to update any forward- looking statements made during the call. If anyone does not already have a copy of the press release issued by MGP today, you can access it at the company's website, www.mgpingredients.com."
3,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,3,Mike Houston,,EXECUTIVES,"At this time, I'd like to turn the call over to MGP's Chief Executive Officer, Gus Griffin. Gus?"
4,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,4,Augustus C. Griffin,CEO & Director,EXECUTIVES,"Thank you, Mike. And thank you all for joining us. At the conclusion of our call in February, none of us could have imagined how our world was going to change in just a few short months. On the call this morning, we will provide details of our performance for the first quarter as usual, but we also spend some time in our comments discussing items, which believe will be of interest to you in the wake of the COVID-19 pandemic."
5,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,5,Augustus C. Griffin,CEO & Director,EXECUTIVES,"Before we turn to the results for this quarter, I'd like to welcome Dave Colo to the call this morning, as our recently appointed President and Chief Operating Officer. Following my retirement in May, Dave will assume the role of CEO. I feel very fortunate to have had the opportunity to lead such a talented, passionate, and collaborative organization. I also appreciate the strong ongoing support of our Board. I've worked closely with Dave since he joined the Board in 2015, and I am confident he will be a terrific successor in leading MGP. As a Director on our Board, Dave played a critical role in supporting the company's growth over the past several years, and we are very excited to have him on the executive leadership team."
6,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,6,Augustus C. Griffin,CEO & Director,EXECUTIVES,"Now, I will turn to the results for the first quarter. We are very pleased with the results this quarter, with consolidated sales increasing 11.2% and gross profit increasing 39.3%. These results reflect strong customer demand in both business segments, and improved effectiveness in our tactical execution. Our results for this quarter reflect growth in premium beverage brown goods sales, as well as significant year- over-year increases in sales of our specialty wheat starches and proteins."
7,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,7,Augustus C. Griffin,CEO & Director,EXECUTIVES,"Looking at each segment individually, in our distillery products segment, sales finished the quarter up 7.3% to $80 million, while gross profit increased to $18.2 million or 22.8% of segment sales. These results reflect a 240 basis point increase in gross profit margin, as compared to the prior year period. Sales of premium beverage alcohol were up 9.4% for the quarter. These improved results were primarily driven by a double-digit growth in both sales of new distillate and aged whisky, which led to a 17.1% increase in sales of brown goods. We saw strong demand for our inventory of aged whiskey, including sales of whiskey from our 2015 and 2016 vintages. Sales of aged whiskey reflect lower pricing versus the prior year quarter, but in line with our expectations. Despite some significant changing dynamics at the retail level and potential challenges to specific customers, we believe the underlying macro consumer trends supporting the ongoing growth of the American whiskey category remains strong."
8,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,8,Augustus C. Griffin,CEO & Director,EXECUTIVES,"The stay-at-home orders have had a devastating impact on on-premise sales over the past six weeks, while consumers appear to be increasing their consumption at home, driving record increases in off- premise sales during the period. While channel specific trends going forward are uncertain, the category trends seem to be holding strong, with American whiskey continuing to be one of the top growth categories. While sales of premium beverage white goods were down 1.6% for the quarter, margins improved due to lower input cost."
9,"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,9,Augustus C. Griffin,CEO & Director,EXECUTIVES,"While continuing to implement our broader growth plan, we are also focusing on helping our industrial alcohol customers navigate the challenges they are confronted with as a result of the COVID-19 pandemic. We remain committed to continuing the legacy our company was founded on more than 75 years ago by supporting the relief effort with both financial aid and increased production of alcohol for hand sanitizer and commercial disinfectant needs. MGP is uniquely positioned to serve as the backbone of the increased industrial alcohol production in this country, and we're proud to expand our efforts at our Kansas and Indiana facilities during this critical time."
