,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",Presentation,0,Operator,,,"Good morning, and welcome to the MSC Industrial Supply 2020 Second Quarter Conference Call. [Operator Instructions] Please note, this event is being recorded. I would now like to turn the conference over to John Chironna, Vice President of Investor Relations and Treasurer. Please go ahead."
1,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",Presentation,1,John G. Chironna,VP of Investor Relations & Treasurer,EXECUTIVES,"Thank you, and good morning, everyone. Erik Gershwind, our Chief Executive Officer, is on the call with me. We are remote. So bear with us, if the call drops, we will dial back in, of course. During today's call, we will refer to various financial and management data in the presentation slides that accompany our comments as well as our operational statistics, both of which can be found on the Investor Relations section of our website."
2,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",Presentation,2,John G. Chironna,VP of Investor Relations & Treasurer,EXECUTIVES,"Let me reference our safe harbor statement under the Private Securities Litigation Reform Act of 1995. Our comments on this call as well as the supplemental information we are providing on the website contain forward-looking statements within the meaning of the U.S. securities laws, including guidance about expected future results, expectations regarding our ability to gain market share and expected benefits from our investment and strategic plans, including expected results from acquisitions. These forward-looking statements involve risks and uncertainties that could cause actual results to differ materially from those anticipated by these statements. Information about these risks is noted in our earnings press release and the risk factors in the MD&A sections of our latest annual report on Form 10- K filed with the SEC as well as in our other SEC filings. These risk factors include our comments on the potential impact of COVID-19. These forward-looking statements are based on our current expectations, and the company assumes no obligation to update these statements. Investors are cautioned not to place undue reliance on these forward-looking statements."
3,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",Presentation,3,John G. Chironna,VP of Investor Relations & Treasurer,EXECUTIVES,I'll now turn the call over to Erik.
4,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",Presentation,4,Erik David Gershwind,"President, CEO & Director",EXECUTIVES,"Thank you, John. Good morning, everybody, and thank you for joining us today during these unprecedented times. Let me begin by expressing my best wishes to you and to your families to stay safe and healthy. COVID-19 is no doubt, top of mind for all of us right now. So before we get into the quarter, let me start by sharing with you an overview of how we're dealing with this issue."
5,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",Presentation,5,Erik David Gershwind,"President, CEO & Director",EXECUTIVES,"We've launched a company-wide business continuity effort to help us navigate the business through this period of uncertainty. As you can imagine, this is getting our leadership team's full attention right now and we are in constant communication with our stakeholders, our associates, our customers, our suppliers, as we contingency plan for what is likely to be an extended disruption to the economy. Our #1 priority is the health and safety of our associates and their families, our customers and our other partners. So those associates who can do so are working from home, particularly in our corporate functions. As we are an essential business, we are continuing to operate our customer fulfillment centers or distribution centers. So those associates continue to be on-premises, serving our customers. This is particularly important because with timely shipping and some creative sourcing, we are helping to keep the nation's front lines running while we all battle this outbreak. We've instituted enhanced safety procedures to safeguard the health and safety of our team, including the use of additional protective equipment and frequent cleanings of our facilities. Given that we're providing essential services to many organizations on the front lines of the response to COVID-19, we do not have any plans at this time to shut down our customer fulfillment centers. However, we will, of course, follow the guidance of health officials, and we're in close contact with them across our operating footprint."
6,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",Presentation,6,Erik David Gershwind,"President, CEO & Director",EXECUTIVES,"We have eliminated essentially all travel in order to ensure health and safety. We are also reducing spending more broadly across the company, only moving ahead on operating and capital spending that is deemed critical. We have ceased all hiring, cut expenses on items like outside resources, including consulting and more. Looking ahead, we have well-developed contingency plans to reduce costs further if the situation deteriorates from here as it very well may. I am proud of how our associates have stepped up during this time of unprecedented uncertainty."
7,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",Presentation,7,Erik David Gershwind,"President, CEO & Director",EXECUTIVES,"Our warehouse associates continue getting product out the door every day. Our sales and service teams remain the face of the company on the front lines with our customers. Our category management team is coming up with miracles to find scarce safety and janitorial products that are keeping our customers going. And our IT team has moved in work speed to enable nearly the entire company with remote access. We'll share some more detail on our actions later in the call, but I'll now turn to our fiscal second quarter that we closed at the end of February."
8,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",Presentation,8,Erik David Gershwind,"President, CEO & Director",EXECUTIVES,"During the quarter, we continue to progress on our journey to reposition MSC as a mission-critical partner on the plant floor of manufacturing and industrial customers. We remain focused on the 3 initiatives that we've discussed over the last couple of calls, to restore operating margin stability and, ultimately, expansion. And those are: Refining the sales effectiveness plan, improving the profitability of our supplier programs and improving productivity by reducing operating expenses. First, we continued refining the sales force and preparing to accelerate growth. Sales headcount was roughly flat during our fiscal second quarter. Importantly, though, we increased headcount in the growth areas, such as business development or the hunter roles that we've talked about into CCSG and a couple of other investment priorities. Our new business wins continued at a strong pace and remained on plan. While encouraging, we realize that the ultimate measure will be our growth gap above market."
9,"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020",Presentation,9,Erik David Gershwind,"President, CEO & Director",EXECUTIVES,"Our second initiative is improving the profitability of our supplier programs. Recall that we have negotiated roughly $20 million in annualized profit improvements, split about equally between the back half of our fiscal '20 and our fiscal 2021. The overall program remains on track. We do expect, however, that COVID-19 and the resulting economic ripple could mute some of the benefit in the near-term as purchase levels and hence rebate payouts come down. The third fiscal 2020 initiative is realigning our operating model to reduce expenses and improve productivity. You'll recall that some of this began at the end of our fiscal 2019 with offering voluntary early retirement to some associates and ratcheting our performance management intensity for others. We also selectively eliminated positions where our focus was changing. All of that continued into our fiscal second quarter, and we began selectively hiring in certain customer- facing roles, as I mentioned."
