,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,0,Operator,,,"As part of the discussion today, the representatives from NTIC will be making certain forward-looking statements regarding NTIC's future financial and operating results as well as their business plans, objectives and expectations. Please be advised that these forward-looking statements are covered under the safe harbor provisions of the Private Securities Litigation Reform Act of 1995 and that NTIC desires to avail itself of the protections of the safe harbor for these statements."
1,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,1,Operator,,,"Please also be advised that actual results could differ materially from those stated or implied by the forward-looking statements due to certain risks and uncertainties, including those described in NTIC's most recent annual report on Form 10-K, subsequent quarterly reports on Form 10-Q and recent press releases. Please read these reports and other future filings that NTIC will make with the SEC. NTIC disclaims any duty to update or revise its forward-looking statements."
2,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,2,Operator,,,"Ladies and gentlemen, thank you for standing by, and welcome to the second quarter 2020 earnings conference call. [Operator Instructions] Please be advised that today's conference is being recorded. [Operator Instructions]"
3,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,3,Operator,,,"I would now like to hand the conference over to your speaker today, Patrick Lynch, CEO. Thank you. Please go ahead, sir."
4,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,4,G. Patrick Lynch,"President, CEO & Director",EXECUTIVES,"Good morning. I'm Patrick Lynch, NTIC's CEO, and I'm here with Matt Wolsfeld, NTIC's CFO; as well as Vineet Dalal, Vice President and Director of Global Market Development for our Natur-Tec business. Please note that the financial results for our fiscal 2020 second quarter were included in a press release issued earlier this morning, a copy of which is available at ntic.com."
5,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,5,G. Patrick Lynch,"President, CEO & Director",EXECUTIVES,"During this call, we will review various key aspects of our fiscal 2020 second quarter financial results, provide a brief business update and then conclude with a question-and-answer session."
6,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,6,G. Patrick Lynch,"President, CEO & Director",EXECUTIVES,"Our fiscal 2020 second quarter financial results were significantly influenced by the economic and business impacts of the COVID-19 pandemic. When compared to either the second quarter last fiscal year or the first quarter of fiscal 2020, demand for ZERUST industrial products slowed substantially in North America, China and across our joint venture network. Demand for Natur-Tec compostable bioplastics, however, remained comparable to the prior fiscal year quarter, and Zerust Oil & Gas sales increased significantly as several delayed projects from our first quarter were installed during the second quarter."
7,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,7,G. Patrick Lynch,"President, CEO & Director",EXECUTIVES,"With many of our global customers currently running at a fraction of their regular capacity or locked down altogether, we anticipate sales for our third quarter to be down considerably compared to the prior fiscal year quarter. Furthermore, since the COVID-19 crisis continues and is evolving, we are withdrawing and suspending specific full year fiscal 2020 guidance. On behalf of the entire leadership team and the Board of Directors of NTIC, our thoughts are with anyone who has been affected by the COVID-19 pandemic. While we have had to adjust our near-term priorities, our long-term market opportunities and growth strategies remain intact."
8,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,8,G. Patrick Lynch,"President, CEO & Director",EXECUTIVES,"Our current intent is to continue providing uninterrupted order fulfillment and customer service while ensuring the safety of our customers, joint ventures and employees. Overall, we are entering this period of uncertainty from a position of strength as a result of our asset-light and highly profitable business model, experienced leadership team and excellent capital structure. We currently have over $12 million in cash and cash equivalents and available-for-sale securities. Additionally, we are evaluating the availability of government support programs associated with the CARES Act that was signed into law on March 27, 2020."
9,"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020",Presentation,9,G. Patrick Lynch,"President, CEO & Director",EXECUTIVES,"So with this overview, let's examine the drivers for the second quarter. For the second quarter ended February 29, 2020, total consolidated net sales decreased 0.6% to $13.2 million as compared to the second quarter ended February 28, 2019. Broken down by business unit, this included a 198.6% increase in Zerust Oil & Gas sales and a 0.3% increase in Natur-Tec net sales offset by a 4.2% decrease in ZERUST industrial net sales and a 65.4% decrease in net sales from NTIC to its ZERUST joint ventures."
