,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,0,Operator,,,"Greetings, and welcome to the PAVmed Inc. Business Update Conference Call. [Operator Instructions] As a reminder, this conference is being recorded."
1,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,1,Mike Havrilla,Director of Investor Relations,EXECUTIVES,"I would now like to turn the conference over to Mike Havrilla, Director of Investor Relations for PAVmed. Thank you. Please begin."
2,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,2,Mike Havrilla,Director of Investor Relations,EXECUTIVES,"Good afternoon, everyone. This is Mike Havrilla, PAVmed's Director of Investor Relations. Thank you all for participating in today's business update conference call. Joining me today on the call are Dr. Lishan Aklog, Chairman and CEO; Dennis McGrath, Chairman -- sorry, President and Chief Financial Officer."
3,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,3,Mike Havrilla,Director of Investor Relations,EXECUTIVES,"Before we begin, I'd like to caution that comments made during the call by management will contain forward-looking statements regarding the operations and future results of PAVmed. I encourage you to read the company's filings with the Securities and Exchange Commission, which identifies specific factors that may cause actual results or events to differ materially from those described in the forward- looking statements. Factors that may affect the company's results include, but are not limited to, the uncertainties inherent in research and development, including the cost and time required to advance products to regulatory submission; whether and when products are cleared by regulatory authorities; market acceptance of products once cleared and commercialized; company's ability to raise additional capital; and the competitive environment."
4,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,4,Mike Havrilla,Director of Investor Relations,EXECUTIVES,"PAVmed has not yet received clearance from the FDA or other regulatory bodies to market many of its products. New risks and uncertainties may arise from time to time are difficult to predict. All these factors are difficult and impossible to predict accurately, many of them are beyond the company's control. For a further list and description of these and other important risks and uncertainties that may affect future operations, see Part I Item 1A entitled Risk Factors in PAVmed's most recent annual report on Form 10-K filed with the SEC, any subsequent updates filed quarterly reports on Form 10-Q."
5,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,5,Mike Havrilla,Director of Investor Relations,EXECUTIVES,"Except as required by law, PAVmed disclaims any intention or obligation to publicly update or revise any forward-looking statements to reflect changes in expectations or in events, conditions or circumstances on which those expectations may be based or that the likelihood -- actual results would differ from those contained in the forward-looking statements."
6,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,6,Mike Havrilla,Director of Investor Relations,EXECUTIVES,"As a note, we have just submitted our press release, which should be distributed shortly by our partner and that will be forthcoming."
7,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,7,Mike Havrilla,Director of Investor Relations,EXECUTIVES,"With that said, I'd like to turn the call over to Lishan Aklog. Dr. Aklog."
8,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,8,Lishan Aklog,Chairman & CEO,EXECUTIVES,"Thank you, Mike. Good afternoon, everyone, and thank you for joining us on this quarterly call to update you on our business and discuss our recent financial results. Those of you who have been keeping up with our press releases know that we have been extraordinarily active in the months since our last update, with many exciting accomplishments and even more milestones we look forward to in the upcoming months."
9,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,9,Lishan Aklog,Chairman & CEO,EXECUTIVES,"Let me start first with a few words about the enormous challenges we are all facing as a result of the COVID-19 pandemic, which, in just a few months, has exacted a tremendous human and economic toll on our industry, on our nation and on our Board. I hope and pray that all of you are weathering the level of storm as best you can and are keeping yourselves and your loved ones safe. I am deeply moved that many of you have taken the time to reach out to us to express your support and continued confidence in us as well as to express your concerns for our safety and health. Thankfully, all members of the PAVmed family, including our employees and critical partners are healthy, safe and able to continue their important work. We are very fortunate that our corporate structure and culture are well suited to address these challenges with minimal short-term and no anticipated long-term disruptions to our strategic plan."
10,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,10,Lishan Aklog,Chairman & CEO,EXECUTIVES,"For example, our employees and partners are already dispersed over many states across the nation and are already proficient and productively utilizing modern remote collaboration tools, which they've been doing since our inception. In addition, our team has always embraced a sort of special forces type culture as all members able to operate autonomously when necessary and spontaneously collaborate to address short-term challenges as they arise, while still systematically advancing and executing on our long-term strategic plan."
11,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,11,Lishan Aklog,Chairman & CEO,EXECUTIVES,"Before providing you with updates on our product portfolio, I'd like to give you a general summary of how each area of our business has or has not been affected by the pandemic and how we are responding for those that are affected."
12,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,12,Lishan Aklog,Chairman & CEO,EXECUTIVES,"First, financial and administrative perspective. As we previously announced, and as Dennis will explain in more detail shortly, we recently completed the November 2019 convertible note financing, which strengthens our balance sheet and enables us to fund our full strategic plan for the foreseeable future as we advance through upcoming milestones. We are also confident that we'll be able to continue to finance our operations as required until we begin to generate meaningful revenue through commercial sales or non-dilutive financing through M&A activities."
13,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,13,Lishan Aklog,Chairman & CEO,EXECUTIVES,"Our executive leadership team has implemented a cash management plan focused on preserving cash in areas where activities are inevitably throttled as a result of the lockdown. Our full-time headcount remains lean, our employees and the unique expertise they bring to our efforts are understandably our most critical resource that we do not plan to trim payroll. This makes us eligible for the Paycheck Protection Program within the federal stimulus package. We have already completed the application and, if approved, will result in proceeds of approximately $300,000 structured as a forgivable loan."
14,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,14,Lishan Aklog,Chairman & CEO,EXECUTIVES,"On the product development and manufacturing side, we currently utilize over a dozen partners across the U.S. in the design, development, testing and manufacture of our product. All these partners are designated essential services, remaining fully operational with no meaningful disruption in their activities on our behalf. Our supply chain has also remained intact, and we believe it will continue to do so without any disruption. The only 2 components we source outside of the U.S. are 2 electrical parts of our CarpX device we sourced in China. Although we already had sufficient inventory of these parts to get us through initial CarpX commercialization, these manufacturers are already back online following a short COVID-19 disruption earlier this year."
15,"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020",Presentation,15,Lishan Aklog,Chairman & CEO,EXECUTIVES,"What about on the regulatory front? We, with the help of our regulatory consultants, have multiple active engagements with the U.S. FDA, including for CarpX, PortIO, EsoGuard and EsoCheck. We also have the FDA."
