,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"PaySign, Inc., 2019 Earnings Call, Apr 06, 2020",Presentation,0,Operator,,,"Greetings, and welcome to the PaySign 2019 Year-End Earnings Call. [Operator Instructions] As a reminder, this conference is being recorded."
1,"PaySign, Inc., 2019 Earnings Call, Apr 06, 2020",Presentation,1,Operator,,,"This presentation may include forward-looking statements to the extent that the information presented in this presentation discusses financial projections, information or expectations about the company's business plans, results of operations, the impact of COVID-19, returns on equity, expected gross margins, markets or otherwise make statements about future events, such statements are forward looking. Such forward-looking statements can be identified by the use of words such as should, may, intends, anticipates, believes, estimates, projects, forecasts, expects, plans and proposes. Although the company believes that the expectations reflected in these forward-looking statements are based on reasonable assumptions, there are a number of risks and uncertainties that could cause actual results to differ materially from those such forward-looking statements. You are urged to carefully review and consider any cautionary statements and other disclosures, including the statements made under the heading Risk Factors and elsewhere in our 2019 Form 10-K. Forward-looking statements speak only as of the date of the document in which they are contained, and the company does not undertake any duty to update any forward-looking statements, except as may be required by law."
2,"PaySign, Inc., 2019 Earnings Call, Apr 06, 2020",Presentation,2,Operator,,,"This presentation also includes adjusted EBITDA, a non-GAAP financial measure that is not prepared in accordance with nor an alternative to financial measures prepared in accordance with U.S. generally accepted accounting principles, GAAP. In addition, adjusted EBITDA is not based on any standardized methodology prescribed by GAAP and is not necessarily comparable to similarly titled measures presented by other companies."
3,"PaySign, Inc., 2019 Earnings Call, Apr 06, 2020",Presentation,3,Operator,,,"I would now like to turn the conference over to our host, Chief Executive Officer, Mark Newcomer. Please go ahead."
4,"PaySign, Inc., 2019 Earnings Call, Apr 06, 2020",Presentation,4,Mark R. Newcomer,"Co-Founder, Vice-Chairman, President & CEO",EXECUTIVES,"Thank you, Diego. Good afternoon, everyone, and thank you for joining us for a discussion about our full year 2019 financial results. I'm Mark Newcomer, the President and Chief Executive Officer of PaySign. With me this afternoon is Mark Attinger, our Chief Financial Officer."
5,"PaySign, Inc., 2019 Earnings Call, Apr 06, 2020",Presentation,5,Mark R. Newcomer,"Co-Founder, Vice-Chairman, President & CEO",EXECUTIVES,"Before I begin my commentary on the business, I would like to address the delay in the filing of our 10- K. The delay in our filing was due to several rounds of auditor request for additional data, which took numbers we reported on March 16. Mark can touch on this in more detail during his discussion."
6,"PaySign, Inc., 2019 Earnings Call, Apr 06, 2020",Presentation,6,Mark R. Newcomer,"Co-Founder, Vice-Chairman, President & CEO",EXECUTIVES,"I'm very pleased to be able to deliver strong results for the full-year performance, even with the miss related to our revenue guidance. For the full year, our revenues were a record $34.7 million, an increase of 48% compared to the prior year. Our full-year net income was up 188% or $7.5 million, also a record, and our adjusted EBITDA was 10.1%, an increase of 106%. I'm very happy with these results and extremely proud of our team and their contributions towards our continued growth."
7,"PaySign, Inc., 2019 Earnings Call, Apr 06, 2020",Presentation,7,Mark R. Newcomer,"Co-Founder, Vice-Chairman, President & CEO",EXECUTIVES,"We experienced strong growth in our existing industry verticals and as we expanded into new verticals. In 2019, we built out a new business line, added 49 new card programs, including 38 in plasma, 7 in pharma and 4 other card programs. And we now have in excess of 2.9 million cardholders on our platform."
8,"PaySign, Inc., 2019 Earnings Call, Apr 06, 2020",Presentation,8,Mark R. Newcomer,"Co-Founder, Vice-Chairman, President & CEO",EXECUTIVES,"I'm especially pleased with the revenue growth in our pharmaceutical programs, which increased from $366,000 to over $7.3 million in just 1 year. With new opportunities opening in the space, we have expanded beyond our long-standing pharmaceutical payment offerings and established the Patient Affordability business line to include other services required by our hub service clients. These new services include pharmacy based co-pay, medical claims processing and payments, centralized billing and payment services as well as other products. You'll be hearing the term hub from us quite often moving forward, as we grow this business line. So to define hubs, hub service providers are companies that pharmaceutical manufacturers use to maintain a connection with the patients during all phases of the prescription delivery process."
9,"PaySign, Inc., 2019 Earnings Call, Apr 06, 2020",Presentation,9,Mark R. Newcomer,"Co-Founder, Vice-Chairman, President & CEO",EXECUTIVES,"Over the past few years, there has been a consolidation of hub service providers. The consolidation in the industry has turned allied companies into competitors, therefore, created an opportunity for us to provide these new offerings to hub service providers that lack or choose not to provide these services in-house. In response to this opportunity, we have made the decision to increase our capabilities to cater to these hub service providers with programs currently onboarded and performing to initial expectations. Over the course of the past year, we have continued to build out this business line and have onboarded new personnel to meet the needs of this unique market. This represented a substantial investment into new software development, architecture and human capital. Drawing from industry experience, we designed, developed and deployed a best-in-class solution to meet the needs of our patient affordability partners. These enhanced capabilities will further our reach into the patient affordability space and allow us to onboard new clients for multiple sectors."
