,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,0,Operator,,,"Good morning or afternoon, everyone, and welcome to the PriceSmart, Inc. Earnings Release Conference call for the Second Quarter of Fiscal Year 2020, which ended on February 29, 2020."
1,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,1,Operator,,,"After remarks from our company representatives, Sherry S. Bahrambeygui, Chief Executive Officer; and Michael McCleary, Chief Financial Officer; you will be given an opportunity to ask questions as time permits. However, the company has requested that questions be limited 2 per person. As a reminder this conference call is being recorded today, Thursday, April 9, 2020. Additional replay will be available following the conclusion of today's call through April 16, 2020, by dialing 1 (877) 344-7529. For domestic callers 1 (412) 317-0088, for international callers and entering replay access code 10139915."
2,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,2,Operator,,,"For opening remarks, I would now like to turn the call over to PriceSmart's Chief Financial Officer, Michael McCleary. Please proceed, sir."
3,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,3,Michael L. McCleary,"Executive VP, CFO & Principal Accounting Officer",EXECUTIVES,"Thank you, and welcome to the PriceSmart Earnings Call for the Second Quarter of Fiscal Year 2020. We will be discussing the information that we provided in our earnings press release and our 10-Q, which were both released yesterday afternoon, April 8, 2020. You can find both documents on our Investor Relations website at investors.pricesmart.com, where you can also sign up for email alerts."
4,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,4,Michael L. McCleary,"Executive VP, CFO & Principal Accounting Officer",EXECUTIVES,"As a reminder, all statements made on this conference call other than statements of historical facts, are forward-looking statements concerning the company's anticipated future plans, revenues and related matters. Forward-looking statements include, but are not limited to, statements containing the words expect, believe, will, may, should, estimate and similar expressions."
5,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,5,Michael L. McCleary,"Executive VP, CFO & Principal Accounting Officer",EXECUTIVES,"All forward-looking statements are based on current expectations and assumptions as of today, April 9, 2020. These statements are subject to risks and uncertainties that could cause actual results to differ materially, including the risks detailed in the company's annual report on Form 10-K for the fiscal year ended August 31, 2019, as filed with the Securities and Exchange Commission on October 29, 2019, and the company's quarterly report on Form 10-Q for the quarter ended February 29, 2020, as filed with the Securities and Exchange Commission on April 8, 2020."
6,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,6,Michael L. McCleary,"Executive VP, CFO & Principal Accounting Officer",EXECUTIVES,The company undertakes no obligation to update forward-looking statements made during this call.
7,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,7,Michael L. McCleary,"Executive VP, CFO & Principal Accounting Officer",EXECUTIVES,"Now, I will turn the call over to Sherry Bahrambeygui, PriceSmart's Chief Executive Officer."
8,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,8,Sherry S. Bahrambeygui,CEO & Director,EXECUTIVES,"Good morning, everyone, and thank you, Michael. In the spirit of not taking anything for granted, I want to thank everyone involved with this call who's made it possible to connect with our investors and our analysts so that we can inform you about our company's results for Q2 as well as tell you about our current activities."
9,"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,9,Sherry S. Bahrambeygui,CEO & Director,EXECUTIVES,"Although, we're conducting this call from remote locations, I want to welcome Michael McCleary as our official ongoing Chief Financial Officer. Michael has done an excellent job as our interim CFO since December 10, 2019. He's been with the company for 16 years, and he has extensive experience with our business and our leadership team. They say you really get to know a person's true colors in times of challenge and stress. And the events of the last couple of months have revealed many more of Michael's great qualities."
