,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",Presentation,0,Operator,,,"Welcome to the RPM International Conference Call for the Fiscal 2020 Third Quarter. Today's call is being recorded. This call is also being webcast and can be accessed live or replayed on the RPM website at www.rpminc.com. Comments made on this call may include forward-looking statements. Based on current expectations that involve risks and uncertainties, which could cause actual results to be materially different. For more information on these risks and uncertainties, please review RPM's reports filed with the SEC."
1,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",Presentation,1,Operator,,,"During this conference call, references may be made to non-GAAP financial measures. To assist you in understanding these non-GAAP terms, RPM has posted reconciliations to the most directly comparable GAAP financial measures on the RPM website. Following today's presentation, there will be a question-and- answer session. [Operator Instructions]"
2,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",Presentation,2,Operator,,,"Please note that only financial analysts will be permitted to ask questions. At this time, I would like to turn the call over to RPM's Chairman and CEO, Mr. Frank Sullivan, for opening remarks."
3,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",Presentation,3,Frank C. Sullivan,"Chairman, President & CEO",EXECUTIVES,"Thank you, Vanessa. Good morning, and welcome to the RPM International Inc. investor call for our fiscal 2020 third quarter ended February 29, 2020. On the call with me today are Rusty Gordon, RPM's Vice President and Chief Financial Officer; and Matt Ratajczak, our Vice President of Global Tax and Treasury, who is also heading our Investor Relations function."
4,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",Presentation,4,Frank C. Sullivan,"Chairman, President & CEO",EXECUTIVES,"I'll start the call by discussing how we are managing our business through the COVID-19 pandemic. Then I'll provide an update on our 2020 MAP to Growth operating improvement program. After that, I'll turn the call over to Matt, who'll walk through our third quarter results in detail, and he'll be followed by Rusty, who will discuss the outlook for the fourth quarter and year-end."
5,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",Presentation,5,Frank C. Sullivan,"Chairman, President & CEO",EXECUTIVES,"First, we know that all of you are dealing with disruptions in your professional and personal lives resulting from the COVID-19 pandemic, especially our analysts and investors from the New York City area. I'd like to thank you for being on our call today and for your continuing interest in RPM and wish you and your families good health during this challenging time."
6,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",Presentation,6,Frank C. Sullivan,"Chairman, President & CEO",EXECUTIVES,"At RPM, our priorities have been to protect the health and well-being of our associates and their family members, to support our local communities to control the spread of the virus and to serve our customers by maintaining the continuity and success of our business operations."
7,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",Presentation,7,Frank C. Sullivan,"Chairman, President & CEO",EXECUTIVES,"Our 15,000 associates around the world have really embraced these priorities, and I'd like to commend them for the incredible work that they've done to continue each and every day. When it comes to protecting their own health and that of their families, we've established many protocols across our operations."
8,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",Presentation,8,Frank C. Sullivan,"Chairman, President & CEO",EXECUTIVES,"We are taking precautions in our facilities to keep our people safe by aggressively cleaning and disinfecting high-touch areas, practicing social distancing and good hygiene and have been screening for COVID-19 symptoms prior to entry in all of our facilities for more than 3 weeks. As of April 7, we have been informed by 14 of our 15,000 employees that they have had at various times confirmed cases of coronavirus. In these cases, we enacted our protocols to shut down the affected location, have them thoroughly cleaned and disinfected, quarantine all appropriate -- affected people and then reopened the facilities following an appropriate shutdown period."
9,"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020",Presentation,9,Frank C. Sullivan,"Chairman, President & CEO",EXECUTIVES,"In terms of our communities, we are working from home, monitoring the hygiene and health of our manufacturing and distribution associates and reporting any infection or disruptions. We're also donating time and materials to help stem the spread of the virus. In one case, our Woodfinishes Group supplied thousands of plastic bottles to a local distillery that has been converting product to hand sanitizer and is providing it to free in the community, especially to health care first responders."
