,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",Presentation,0,Operator,,,"Good day, everyone. And welcome to the FY '20 Third Quarter Earnings Call for Richard Electronics, hosted by Ed Richardson. My name is Leslie, and I'm the event manager. [Operator Instructions]"
1,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",Presentation,1,Edward J. Richardson,"CEO, COO, President & Chairman",EXECUTIVES,"And now I would like to turn it over to your host, Ed Richardson. Please go ahead."
2,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",Presentation,2,Edward J. Richardson,"CEO, COO, President & Chairman",EXECUTIVES,"Good morning, and welcome to Richardson Electronics Conference Call for the Third Quarter of Fiscal Year 2020. Joining me today are Robert Ben, Chief Financial Officer; Wendy Diddell, Chief Operating Officer and General Manager for Richardson Healthcare; Greg Peloquin, General Manager of our Power & Microwave Technologies group; and Jens Ruppert, General Manager of Canvys. We're all calling in from remote locations, and as a reminder, this is -- call is being recorded and will be available for audio playback."
3,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",Presentation,3,Edward J. Richardson,"CEO, COO, President & Chairman",EXECUTIVES,"I would also like to remind you that we'll be making forward-looking statements, and they're based on current expectations and involve risks and uncertainties, more so than ever today. Therefore, our actual results could be materially different. Please refer to our press release and SEC filings for an explanation of our risk factors."
4,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",Presentation,4,Edward J. Richardson,"CEO, COO, President & Chairman",EXECUTIVES,"I'm pleased to report that we made a small profit in our third quarter. Given the healthcare concerns that dominate our attention, this is a testament to the Richardson team, particularly throughout Asia where the coronavirus impact reached a critical level during the quarter. Today, more than 20% of our business comes from this region. As we continue to monitor the coronavirus developments closely, the health and well-being of our employees, customers, suppliers, relatives and friends throughout the world are of the greatest importance to us. Being prepared and maintaining a safe work environment is critical to sustaining our business operations."
5,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",Presentation,5,Edward J. Richardson,"CEO, COO, President & Chairman",EXECUTIVES,"Richardson Electronics is considered an essential business. We continue to manufacture and distribute products on a global basis. In addition to adhering to social distancing guidelines and other health measures, we're taking the necessary precautions at the local level to protect our employees. We've implemented work-from-home capabilities. We've put policies in place to mature employees who are ill do not come to work and have no concerns about the security of their jobs. For those with other health concerns, we're employing flexible policies to address individual needs. Travel has been severely restricted. We suspended all customer and supplier visits to our facilities. Through all of these actions, we're able to offer uninterrupted deliveries of products and support to our customers and suppliers."
6,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",Presentation,6,Edward J. Richardson,"CEO, COO, President & Chairman",EXECUTIVES,"I'll now turn the call over to Bob Ben, who'll provide a detailed recap of our third quarter financials. Then Greg, Wendy and Jens will discuss the individual business unit performance, including more details regarding the impact of the coronavirus."
7,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",Presentation,7,Robert J. Ben,"Executive VP, CFO, Chief Accounting Officer & Corporate Secretary",EXECUTIVES,"Thank you, Ed, and good morning. I will review our financial results for our third quarter and first 9 months of fiscal year 2020, followed by a review of our cash position. First, I am pleased to say that the company reported an operating income of $11,000 for the third quarter of fiscal 2020 as compared to an operating loss of $0.8 million in the third quarter of last year."
8,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",Presentation,8,Robert J. Ben,"Executive VP, CFO, Chief Accounting Officer & Corporate Secretary",EXECUTIVES,"While total company net sales for the third quarter of fiscal year 2020 decreased 2% to $38.2 million compared to the prior year's third quarter of $39.0 million, net sales for Canvys increased for the third quarter of fiscal year 2020 by $0.3 million or 3.5%. Sales of semiconductor wafer fab equipment specialty products also increased from last year's third quarter."
9,"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020",Presentation,9,Robert J. Ben,"Executive VP, CFO, Chief Accounting Officer & Corporate Secretary",EXECUTIVES,"PMT net sales benefited from higher sales of power conversion in RF and microwave components, although overall sales for PMT decreased $0.7 million or 2.5%. This was primarily due to economic softness in the power grid tube market and lower sales in China due to the coronavirus."
