,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",Presentation,0,Operator,,,"Ladies and gentlemen, thank you for standing by, and welcome to the SMART Global Holdings Second Quarter Fiscal 2020 Earnings Call. [Operator Instructions] Please be advised that today's conference may be recorded. [Operator Instructions]"
1,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",Presentation,1,Operator,,,"I would now like to hand the conference over to your speaker today, Ms. Suzanne Schmidt with Investor Relations. Please go ahead."
2,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",Presentation,2,Suzanne Schmidt,Investor Relations Officer,EXECUTIVES,"Thank you, operator. Good afternoon, and thank you for joining us on today's earnings conference call to discuss SMART Global Holdings second quarter fiscal 2020 results. Ajay Shah, Chairman and Chief Executive Officer, will begin the call with a discussion of the market and the business; followed by Jack Pacheco, Chief Operating and Financial Officer, who will review the financial results in more detail and provide the forward guidance, after which we will open the call to your questions."
3,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",Presentation,3,Suzanne Schmidt,Investor Relations Officer,EXECUTIVES,"As a reminder, our earnings press release and a replay of today's call can be accessed under the Investor Relations section of SMART's website at smartgh.com. We encourage you to go to our website throughout the quarter for the most current information on the company, including information on the various financial conferences we will be attending."
4,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",Presentation,4,Suzanne Schmidt,Investor Relations Officer,EXECUTIVES,"Before we begin the call, I would like to note that today's remarks and the answers to today's questions may include forward-looking statements. Any statement that refers to expectations, projections, or other characterizations of future events, including financial projections and future market condition is a forward- looking statement. Actual results may differ materially from those expressed in these forward-looking statements. For more information, please refer to the risk factors discussed in the documents we file from time to time with the SEC, including our most recent Form 10-K. We assume no obligation to update these forward-looking statements which speak as of today."
5,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",Presentation,5,Suzanne Schmidt,Investor Relations Officer,EXECUTIVES,"Additionally, during this call, our non-GAAP financial measures will be discussed. Reconciliations for those directly comparable GAAP financial measures are included in today's earnings press release."
6,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",Presentation,6,Suzanne Schmidt,Investor Relations Officer,EXECUTIVES,"With that, I will now turn the call over to Chairman and CEO, Ajay Shah."
7,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",Presentation,7,Suzanne Schmidt,Investor Relations Officer,EXECUTIVES,"Thank you, Suzanne, and welcome to everyone on the call from, I assume, all of you at home. It is the most amazing time that we find ourselves in and our fiscal second quarter has been one of the most difficult we have seen in a long time given the environment around the world. However, our team at SMART has stepped up to the challenges and delivered strong operational and financial results with both revenue and non-GAAP earnings per share above the midpoint of our guidance range in spite of some delays we experienced in component availability from China and from some customer operations in China."
8,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",Presentation,8,Operator,,,"Ladies and gentlemen, please stand by, your conference call will resume momentarily. [Operator Instructions]"
9,"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020",Presentation,9,Ajay B. Shah,"Chairman, CEO & President",EXECUTIVES,[Technical Difficulty]
