,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,0,Operator,,,"Good afternoon, and welcome to SeaChange's Fiscal Fourth Quarter and Full Year 2020 Earnings Call for the period ended January 31, 2020. My name is Diego, and I will be your operator this afternoon."
1,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,1,Operator,,,"Joining me for today's call is the company's Chief Executive Officer, Yossi Aloni; Chief Commercial Officer, Chad Hassler; and Chief Financial Officer, Michael Prinn. After the market closed today, SeaChange issued its financial results for the fiscal fourth quarter and full year 2020 in a press release, a copy of which is available in the Investors section of the company's website at investors.seachange.com."
2,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,2,Operator,,,"To accompany today's call, the company has made available its prepared remarks along with a supplemental slide deck, both of which are posted in the Investors section of SeaChange's website. Management encourages you to download the slide deck if you have not already done so."
3,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,3,Operator,,,"Before we begin today's call, I'd like everyone to please take a note of the safe harbor paragraph that is included at the end of today's press release. This paragraph emphasizes the major uncertainties and risks inherent in the forward-looking statements that management will be making today. As we have indicated, forward-looking statements are based on management's current expectations, and are subject to a number of risks and uncertainties that may cause actual results to differ materially from expectations. These risks and uncertainties are also outlined in the company's SEC filings, including its annual report on Form 10-K and quarterly reports on Form 10-Q. Any forward-looking statements should be considered in light of these factors."
4,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,4,Operator,,,"Additionally, this presentation contains certain non-GAAP financial measures as that term is defined by the SEC in Regulation G. Non-GAAP financial measures should not be considered in isolation from, or as a substitute for, financial information presented in compliance with GAAP. Accordingly, SeaChange has provided a reconciliation of these non-GAAP financial measures to the most directly comparable GAAP measures in the company's earnings release issued today."
5,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,5,Operator,,,I would like to remind everyone that this call is being recorded and will be made available for replay via a link available in the Investor Relations section of SeaChange's website.
6,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,6,Operator,,,"Now I would like to turn the call over to SeaChange's CEO, Mr. Yossi Aloni."
7,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,7,Yosef Aloni,"CEO, President & Director",EXECUTIVES,"Thanks, operator, and good afternoon, everyone. We are pleased to announce that the transformation of 9 months, we upgraded our Board of Directors, have a new executive team, new sales and marketing organization and a stronger and more efficient R&D organization. In 2020, we launched the final go- to-market strategy, integrating on the excellent SeaChange stand-alone products into a single-winning software solution with value-based engagement. The initial results are just great. During the last 9 months of fiscal 2020, we won more projects than SeaChange won over the past 7 years. These wins enabled us to deliver profit and growth albeit a cliff in our legacy revenues."
8,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,8,Yosef Aloni,"CEO, President & Director",EXECUTIVES,"Overall, fiscal 2020 was a positive year for SeaChange. We achieved a total revenue of $67.2 million, of this amount, Framework engagements of 55% of our total revenue. We improved our total gross margins to 65%. In the second half of fiscal 2020, where most of our revenues came from Framework engagements, our gross margin was over 70%. We generated $4.8 million in non-GAAP operating income. We realized more than $12 million in annualized cost savings, and this is just the beginning."
9,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,9,Yosef Aloni,"CEO, President & Director",EXECUTIVES,"We consolidated our R&D operation to a single location, increasing our efficiency and enabling additional meaningful savings for fiscal 2021. We cleaned up all our legacy customer commitments, many of which generated negative ROI. This enables additional savings for fiscal 2021."
10,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,10,Yosef Aloni,"CEO, President & Director",EXECUTIVES,"As we exited Q4, SeaChange is a profitable, growing, lean and efficient company and well positioned to benefit from the COVID-19 impact on the media segment. As for the current operating environment with COVID-19, road map and customer support, no impact. Our CTO took all the needed actions in a timely manner. We maintained both our high-quality customer support and road map development pace."
11,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,11,Yosef Aloni,"CEO, President & Director",EXECUTIVES,"Customer engagements, we and our customers are working from home, therefore, this is slowing some of our engagements. We continue to push forward, and we expect to continue and close business."
12,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,12,Yosef Aloni,"CEO, President & Director",EXECUTIVES,"As for the opportunity, with the Framework being the only solution that can reduce our customers' video quality operating expenses by up to 50%, we expect to see a significant boost to our business within very few months."
13,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,13,Yosef Aloni,"CEO, President & Director",EXECUTIVES,"TV providers are facing 2 challenges these days, an increasing in operating expenses and declining revenues. Growing demand for video increases the provider expenses. For example, many TV providers are paying more for CDN, others are increasing network support and making immediate network investments to enable servicing the growing demand. In addition, while the TV providers' operating expenses is increasing, advertising revenues and video ARPU are going down. The increasing operating expenses with declining revenues, as we enter a recession, is a perfect storm for the TV providers. Our Framework is the best tool in the industry to address these challenges."
14,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,14,Yosef Aloni,"CEO, President & Director",EXECUTIVES,"On the cost side, using our value-based engagement, we'll reduce our customers' operating expenses to a point where the total cost of ownership to use the Framework is almost 0. We try to make it impossible for the customer to say no, while protecting our target margins. In many cases, our customers reduced the video delivery operating expenses by 50%."
15,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,15,Yosef Aloni,"CEO, President & Director",EXECUTIVES,"On the revenue side, the Framework enables the TV providers to offer web-like advertising for both live and on-demand TV, which enable them to protect and increase some of their advertising revenues. No other vendor in the industry offers a 0 cost to own solution or make this claim. This amazing combination will enable us to scale up our business. We believe that within very few months, fiscal 2021 will be a great year for SeaChange."
16,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,16,Yosef Aloni,"CEO, President & Director",EXECUTIVES,"Before I discuss our outlook and strategic initiatives for fiscal 2021, I'll turn the call over to our CCO, Chad, to provide details on the Framework wins. Afterwards, Michael, our CFO, will walk you through our financial performance. Chad?"
17,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,17,Chad A. Hassler,Chief Commercial Officer,EXECUTIVES,"Thanks, Yossi, and good afternoon, everyone. It's great to speak with you again today. We finished the fiscal year with an exceptionally strong win rate by securing 11 significant Framework deals in Q4, which was up approximately 30% over the prior quarter. The 11 Framework wins in the quarter brought the mentioned, we achieved this all in less than a year, a truly impressive feat on its own."
18,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,18,Chad A. Hassler,Chief Commercial Officer,EXECUTIVES,"The 26 wins we secured reflects the increasing demand we are seeing across the industry for our versatile, cloud-based or localized video delivery solution. Framework enables content owners, service providers and broadcasters to offer a Netflix-like service for both live channels and video-on-demand, using existing cable networks and/or over-the-top. This helps these organizations stay competitive and generate new revenue streams by offering unique services and content to meet all their customers' viewing needs."
19,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,19,Chad A. Hassler,Chief Commercial Officer,EXECUTIVES,"It's not just a sheer number of wins that's noteworthy, it's also the healthy mix of new and existing logos we secured during the year, including significant wins in which we successfully replaced a competing legacy solution."
20,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,20,Chad A. Hassler,Chief Commercial Officer,EXECUTIVES,"From the top telecommunication companies in the U.S. to leading regional service providers globally, the common denominator is that these organizations are selecting the Framework to enhance the user experience, significantly reduce operating costs and more effectively monetize their installed base. An integral part of our success is thanks to the go-to-market strategy we implemented last April. If you had the opportunity to hear Yossi or I talk about the strategy in any detail, you'll know that it was inspired by simplicity. We started by introducing the Framework where we had truly the best components. This includes the best user interface and the best back office, and instead of being sold as stand-alone components, which is how the company previously sold, we began selling it as a fully integrated solution."
21,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,21,Chad A. Hassler,Chief Commercial Officer,EXECUTIVES,"Customers were looking for a plug-and-play solution that just worked, not multiple components that they had to assemble to build a solution. While we've had great success selling Framework following this proven strategy, we're not resting on our laurels and are actively pursuing additional approaches and channels to drive greater adoption and revenue streams for SeaChange. Later this year, we plan to introduce the Framework plug-in store, which will be designed to help our customers do more with the Framework through both free and premium plug-ins, providing them with further avenues to monetize their installed base."
22,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,22,Chad A. Hassler,Chief Commercial Officer,EXECUTIVES,"Additionally, the Framework technology enables us to change the way TV ads are sold, which, in turn, will allow our customers to recoup some of the ad revenue the TV industry has lost to the web over the past decade. In fact, we have several ongoing customer engagements and should be able to announce the initial customer deployments in the coming months."
23,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,23,Chad A. Hassler,Chief Commercial Officer,EXECUTIVES,"Overall, we're really encouraged by the sales traction we achieved in fiscal 2020. We've entered the new year with a growing list of Framework customers, building recurring revenues through multiyear agreements, industry-leading technology, along with a robust pipeline of new opportunities that is well distributed across our geographic regions. We're confident these factors have positioned us well for continued success in fiscal 2021 and beyond."
24,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,24,Chad A. Hassler,Chief Commercial Officer,EXECUTIVES,"With that, I'll turn the call over to Mike to walk us through our financial performance for fiscal Q4 and the full year of 2020. Mike?"
25,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,25,Michael D. Prinn,"CFO, Senior VP & Treasurer",EXECUTIVES,"Thanks, Chad, and good afternoon, everyone. Turning to our financial results for the fourth quarter ended January 31, 2020. We entered the fourth quarter of fiscal 2020 with $22.2 million in total backlog, excluding maintenance and legacy support. We booked new business of $17.4 million during the fourth quarter and ended the quarter with backlog of $21.8 million."
26,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,26,Michael D. Prinn,"CFO, Senior VP & Treasurer",EXECUTIVES,"Total revenue increased 14% to $19.3 million from $17 million in the same year ago period. The increase in total revenue was driven by a $13 million increase in Framework revenue compared to no Framework revenue in the same year ago period, offset by a $10.7 million decrease in legacy revenue."
27,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,27,Michael D. Prinn,"CFO, Senior VP & Treasurer",EXECUTIVES,Product revenue increased 69% to $13.2 million or 69% of total revenue from $7.8 million or 46% of revenue in the same year ago period. The increase in product revenue was driven by a $12.4 million increase in Framework revenue.
28,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,28,Michael D. Prinn,"CFO, Senior VP & Treasurer",EXECUTIVES,"Service revenue decreased 33% to $6.1 million or 31% of total revenue from $9.1 million or 54% of total revenue in the same year ago period. The decrease in service revenue was due to lower revenue from both professional services and support revenue from customers related to our legacy products. As we mentioned in our Q3 call, these declines are consistent with our expectations as we transitioned legacy customers to new Framework arrangements and transitioned our professional services organization to our customer engineering organization as we completed legacy professional services projects."
29,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,29,Michael D. Prinn,"CFO, Senior VP & Treasurer",EXECUTIVES,"Revenue from our international markets was $11 million or 57% of total revenue, which compares to $12.4 million or 73% of total revenue in the same year ago period. The decrease in international revenue was due to a large project for a significant international customer in the fourth quarter of last year. Revenue in our U.S. market was $8.2 million or 43% of total revenue, which was up from $4.6 million or 27% of total revenue in the same year ago period. The increase in revenue from the U.S. was due to our Framework offering being introduced in fiscal 2020."
30,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,30,Michael D. Prinn,"CFO, Senior VP & Treasurer",EXECUTIVES,"In terms of customer concentration, we had 2 customers that accounted for 16% and 12% of our total revenue compared to 1 customer in Q4 of last year that accounted for 42% of our total revenue."
31,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,31,Michael D. Prinn,"CFO, Senior VP & Treasurer",EXECUTIVES,Looking at our margins. Gross profit increased $14 million or 73% of total revenue from $10.9 million or 64% of total revenue in the same year ago period. The increase in gross profit was due to a shift in sales to our Framework product starting in Q2 of fiscal 2020. 73% gross margin we achieved in the quarter exceeded our annual guidance target of 60% for the fiscal year.
32,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,32,Michael D. Prinn,"CFO, Senior VP & Treasurer",EXECUTIVES,Product gross margin was 87% compared to 88% in Q4 of last year. Service gross margin was 42% compared to 43% in Q4 of last year.
33,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,33,Michael D. Prinn,"CFO, Senior VP & Treasurer",EXECUTIVES,"Looking at our expenses, non-GAAP operating expenses decreased 25% to $9.2 million from $12.3 million in Q4 of last year. The improvement reflects the continued cost savings initiatives related to the reduction of third-party costs and elimination of nonessential internal costs throughout the organization."
34,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,34,Michael D. Prinn,"CFO, Senior VP & Treasurer",EXECUTIVES,"In Q4, we eliminated all resources related to legacy professional services and support arrangements as we completed the remaining legacy projects we had underway. Our success reducing OpEx enabled us to realize 3 consecutive quarters of non-GAAP operating income as well as 3 consecutive quarters of non- GAAP net income."
35,"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020",Presentation,35,Michael D. Prinn,"CFO, Senior VP & Treasurer",EXECUTIVES,"GAAP income from operations totaled $3.6 million, an improvement from a loss of $19.9 million in the same year ago period. As a percent of total revenue, GAAP income from operations for the fourth quarter of fiscal 2020 was 19%, which compares to a negative percentage in the year ago period."
