,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,0,Operator,,,"Good afternoon, everyone. On behalf of Simulations Plus, I welcome you to our second quarter fiscal year 2020 financial results conference call and webinar. Hosting the call today is Simulations Plus' CEO, Shawn O'Connor; and the company's CFO, John Kneisel. Our quarterly earnings release should be available momentarily and expect to have this before we get into the main details of the earnings call today. An opportunity to ask questions will follow today's presentation. [Operator Instructions]"
1,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,1,Cameron Donahue,"Hayden IR, LLC",ATTENDEES,"Before beginning, I'd like to remind everyone that with the exception of historical information, the matters discussed in this presentation are forward-looking statements that involve a number of risks and uncertainties. The actual results of the company could differ significantly from those statements."
2,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,2,Cameron Donahue,"Hayden IR, LLC",ATTENDEES,"Factors that can cause or contribute to such differences include, but are not limited to, continued demand for the company's products, competitive factors, the company's ability to finance future growth, the company's ability to produce and market new products in a timely fashion, the company's ability to continue to attract and retain skilled personnel and the company's ability to sustain or improve the current levels of productivity."
3,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,3,Cameron Donahue,"Hayden IR, LLC",ATTENDEES,Further information on the company's risk factors is contained in the company's quarterly annual reports and filed with the Securities and Exchange Commission.
4,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,4,Cameron Donahue,"Hayden IR, LLC",ATTENDEES,"With that said, I'd like to turn the call over to CEO, Shawn O'Connor. Shawn?"
5,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,5,Shawn M. O'Connor,Chief Executive Officer,EXECUTIVES,"Thank you, Cameron. This was certainly an eventful and historical quarter for Simulations Plus and for all of us."
6,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,6,Shawn M. O'Connor,Chief Executive Officer,EXECUTIVES,"I'd like to start the call by expressing my hope that you and your families are all healthy and safe in these uncertain times. While we all may be feeling a bit homebound at this point, I encourage everyone to adhere to the guidelines and precautions that keep you and your families best protected during these times. Thankfully, the impact of the COVID pandemic on us here at Simulations Plus has been relatively minimal to date."
7,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,7,Shawn M. O'Connor,Chief Executive Officer,EXECUTIVES,"I will elaborate on the COVID impact in our response later in the call. But first, I'd like to comment with regard to our recently announced acquisition and operating results for the quarter. Subsequent to the end of the quarter, we acquired Lixoft of the Paris, France, the developer of the highly regarded Monolix"
8,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,8,Shawn M. O'Connor,Chief Executive Officer,EXECUTIVES,"Suite. Monolix is a PK/PD modeling platform that supports the pharmacometricians workflow with data exploration, to model fitting through to clinical trial stimulation. This acquisition did several things for us. First, it immediately expands our presence in Europe with 12 new employees and strong experienced executive management."
9,"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020",Presentation,9,Shawn M. O'Connor,Chief Executive Officer,EXECUTIVES,"Second, it rebalances our mix of software and consulting revenues, following 2 acquisitions of businesses that are more weighted to consulting. Lixoft's revenues are 99% annual software licenses with consistently high renewal rates, which we believe will benefit from our sales and marketing channels. Third, Lixoft has historically turned away consulting opportunities, and we believe that we will be able to respond to this market opportunity with our consulting resources, creating a new source of revenue."
