,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,0,Operator,,,"Good morning, and welcome to the Syneos Health First Quarter 2020 Earnings Conference Call. [Operator Instructions]"
1,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,1,Operator,,,"I would like to hand the conference over to Ronnie Speight, Senior Vice President of Investor Relations. Please go ahead, sir."
2,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,2,Ronnie Speight,Senior Vice President of Investor Relations,EXECUTIVES,"Good morning, everyone. With me on the call today are Alistair Macdonald, our Chief Executive Officer; Jason Meggs, our Chief Financial Officer; Michelle Keefe, our President of Commercial Solutions; and Paul Colvin, our President of Clinical Solutions."
3,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,3,Ronnie Speight,Senior Vice President of Investor Relations,EXECUTIVES,"In addition to the press release, a slide presentation corresponding to our prepared remarks is available on our website at investor.syneoshealth.com. Remarks that we make about future expectations, plans, growth, anticipated financial results and prospects and expected impacts of the COVID-19 pandemic for the company constitute forward-looking statements for purposes of the safe harbor provisions under the Private Securities Litigation Reform Act of 1995, and we disclaim any obligation to update them. Actual results may differ materially from those indicated by these forward-looking statements as a result of various important factors."
4,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,4,Ronnie Speight,Senior Vice President of Investor Relations,EXECUTIVES,"These factors are discussed in the Risk Factors section of our Form 10-K for the year ended December 31, 2019, as updated by our Form 10-Q for the quarter ended March 31, 2020, and our other SEC filings. During this call, we will discuss certain non-GAAP financial measures which exclude the effects of events and transactions we consider to be outside of our core operations. These non-GAAP measures should be considered as supplement to and not a replacement for measures prepared in accordance with GAAP. For a reconciliation of non-GAAP financial measures with the most directly comparable GAAP measures, please refer to the appendix of our presentation."
5,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,5,Ronnie Speight,Senior Vice President of Investor Relations,EXECUTIVES,"Finally, in accordance with social distancing protocols, all of the executives participating on this call have dialed in remotely from separate locations. We apologize in advance for any potential technical issues or delays and appreciate your patience."
6,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,6,Ronnie Speight,Senior Vice President of Investor Relations,EXECUTIVES,I would now like to turn the call over to Alistair Macdonald. Alistair?
7,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,7,Alistair Macdonald,CEO & Director,EXECUTIVES,"Thanks, Ronnie. Good morning, everyone, and thank you for joining us today. I hope you and your families are in good health and staying safe during these uniquely challenging times. As the impacts of the COVID-19 pandemic continue to evolve, our team remains focused on protecting the health and safety of our colleagues, site staff, customers and the patients we all serve. As part of the global health care community collaborating to fight this pandemic, we are actively working with multiple customers to develop COVID-19 treatment and a vaccine. This battle requires unparalleled speed without compromising safety and regulatory requirements."
8,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,8,Alistair Macdonald,CEO & Director,EXECUTIVES,"Customers are reaching out to us for everything from standing up trials to targeting communications for accelerated enrollment, to crisis communications to help their organizations manage through this challenging time. We also want to thank the frontline health care professionals, including many of our own Syneos Health clinically qualified volunteers who have been ICU bound, boldly fighting the pandemic. Their bravery is incredible, and we are grateful for their work to protect us all."
9,"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,9,Alistair Macdonald,CEO & Director,EXECUTIVES,"Lastly, before we get into the first quarter details, I want to thank all of my Syneos Health colleagues for their shared strength during this time. I'm incredibly proud of our team for living our values of challenging the status quo, collaborating to deliver solutions and exhibiting the passion to change lives, which has kept our culture resilient and strong. We believe our commitment to collaborating with customers, sites and the public health community will sustain and advance our collective efforts during this pandemic and beyond."
