,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Teligent, Inc., Q4 2019 Earnings Call, Apr 08, 2020",Presentation,0,Operator,,,"Ladies and gentlemen, thank you for standing by, and welcome to the Teligent, Inc. Fourth Quarter and Full Year 2019 Results Conference Call. [Operator Instructions] Please be advised that today's conference is being recorded."
1,"Teligent, Inc., Q4 2019 Earnings Call, Apr 08, 2020",Presentation,1,Operator,,,"Except for historical facts, the statements in this presentation as well as oral statements or other written statements made or to be made by Teligent Inc. are forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995 and involve risks and uncertainties. For example, without limitation, statements about the company's anticipated growth and future operations, the current or expected market size for its products, the success of our current or future product offerings and the research and development efforts and the company's ability to file for and obtain U.S. Food and Drug Administration approvals for future products are forward-looking statements."
2,"Teligent, Inc., Q4 2019 Earnings Call, Apr 08, 2020",Presentation,2,Operator,,,"Forward-looking statements are merely the company's current predictions of future events. The statements are inherently uncertain, and actual results could differ materially from the statements made herein. There is no assurance that the company will achieve the sales levels that will make its operations profitable, or that FDA filings and approvals will be completed and obtained as anticipated."
3,"Teligent, Inc., Q4 2019 Earnings Call, Apr 08, 2020",Presentation,3,Operator,,,"For a description of additional risks and uncertainties, please refer to the company's filings with the Securities and Exchange Commission, including its latest annual report on Form 10-K and its latest quarterly report on Form 10-Q. The company assumes no obligation to update its forward-looking statements to reflect new information and developments."
4,"Teligent, Inc., Q4 2019 Earnings Call, Apr 08, 2020",Presentation,4,Operator,,,"[Operator Instructions] I would now like to hand the conference over to your speaker today, Mr. Damian Finio, Teligent Corporate's Chief Financial Officer. Thank you. Please go ahead, sir."
5,"Teligent, Inc., Q4 2019 Earnings Call, Apr 08, 2020",Presentation,5,Damian Finio,Corporate Secretary & CFO,EXECUTIVES,"Thank you, Daniel, and good morning, everyone. I am Damian Finio, the Chief Financial Officer of Teligent. I am joined on this morning's call by our new President and CEO, Tim Sawyer. Before introducing you to Tim, on behalf of all employees of Teligent, I wanted to take a moment to thank our former President and CEO, Jason Grenfell-Gardner, for his vision and significant contributions made to this organization."
6,"Teligent, Inc., Q4 2019 Earnings Call, Apr 08, 2020",Presentation,6,Damian Finio,Corporate Secretary & CFO,EXECUTIVES,"Now this morning, I'm excited to introduce you to our new President and CEO, Tim Sawyer. He brings over 26 years of experience in the pharmaceutical industry, having held a variety of senior executive positions in general management, marketing and sales. Prior to joining Teligent, Tim spent 16 years at Barr Laboratories, eventually serving as Executive Vice President, Global Generic Sales and Marketing, where he led a team of nearly 2,000 employees in 25 countries. Subsequently, Tim held positions such as Senior Vice President, Corporate Strategic Development at Mylan and President Retail Medicine at 1-800-Doctors, Inc. Most recently, Tim served as Chief Executive Officer of Geritrex, a manufacturer and marketer of generic over the counter pharmaceuticals."
7,"Teligent, Inc., Q4 2019 Earnings Call, Apr 08, 2020",Presentation,7,Damian Finio,Corporate Secretary & CFO,EXECUTIVES,"Since Tim joined on February 5, his leadership style has been consistent, and it's no surprise he's had success in this industry. He's a great listener, adept at building relationships quickly, crystal clear with his expectations and does not hesitate in holding individuals accountable. We are confident in his ability to lead this organization through the next phase of our evolution."
8,"Teligent, Inc., Q4 2019 Earnings Call, Apr 08, 2020",Presentation,8,Damian Finio,Corporate Secretary & CFO,EXECUTIVES,"And with that introduction, I will hand the mic over to Tim. Tim?"
9,"Teligent, Inc., Q4 2019 Earnings Call, Apr 08, 2020",Presentation,9,Timothy B. Sawyer,President & CEO,EXECUTIVES,"Thanks, Damian. Good morning, and thanks for that kind introduction. I truly appreciate the time you've spent helping me get up to speed quickly, thank you. I'm Tim Sawyer, the new President and CEO of"
