,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,0,Operator,,,"Ladies and gentlemen, thank you for standing by, and welcome to the Workiva Inc. First Quarter 2020 Earnings Conference Call. [Operator Instructions]"
1,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,1,Operator,,,"I would now like to hand the conference over to your speaker today, Adam Terese."
2,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,2,Adam Terese,Director of Corporate Development and Investor Relations,EXECUTIVES,"Good afternoon and thank you for joining us for Workiva's First Quarter 2020 Earnings Conference Call. Today's conference call is prerecorded. This afternoon, we'll begin with comments from our Chief Executive Officer, Marty Vanderploeg, followed by our Chief Financier, Stuart Miller. A replay of this call will be available until May 7. Information to access the replay is listed in today's press release, which is available on our website under the Investor Relations section."
3,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,3,Adam Terese,Director of Corporate Development and Investor Relations,EXECUTIVES,"Before we begin, I would like to remind everyone that during today's call, we'll be making forward-looking statements regarding future events and financial performance, including guidance for our second quarter and commentary on our full year 2020. These forward-looking statements are subject to known and unknown risks and uncertainties. Workiva cautions that these statements are not guarantees of future performance."
4,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,4,Adam Terese,Director of Corporate Development and Investor Relations,EXECUTIVES,"All forward-looking statements made today reflect our current expectations only, and we undertake no obligation to update any statement to reflect the events that occur after this call. Please refer to the company's annual report on Form 10-K and subsequent filings for factors that could cause our actual results to differ materially from any forward-looking statements."
5,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,5,Adam Terese,Director of Corporate Development and Investor Relations,EXECUTIVES,"Also, during the course of today's call, we will refer to certain non-GAAP financial measures. Reconciliations of non-GAAP to GAAP measures and certain additional information are also included in today's earnings press release."
6,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,6,Adam Terese,Director of Corporate Development and Investor Relations,EXECUTIVES,"With that, we'll begin by turning the call over to our CEO, Marty Vanderploeg."
7,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,7,Martin J. Vanderploeg,"President, CEO & Director",EXECUTIVES,"Thank you, Adam, and thanks to everyone for joining the Workiva first quarter 2020 conference call. Our hearts go out to the people directly affected by COVID-19, and we are grateful for the essential workers we can to protect our employees and their families during this difficult time. We are grateful that all of our employees are able to work from home and that we are able to fully compensate the small number of employees who do not have roles outside of our physical offices."
8,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,8,Martin J. Vanderploeg,"President, CEO & Director",EXECUTIVES,"To keep our team connected and focused, I host a weekly live stream Q&A to offer updates, insights, advice and support to all employees."
9,"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020",Presentation,9,Martin J. Vanderploeg,"President, CEO & Director",EXECUTIVES,"As a cloud-based technology company with a highly distributed workforce, the shift to work from home has been smooth for us. With cloud platforms and digital channels, it's been mostly business as usual. We continue to deliver the highest levels of performance, availability and security. Our technology, global infrastructure and operating model, along with our 24/7 customer support, enable our customers to work from home in a controlled, secure environment with their most sensitive data."
