word,sim,n_sentence
coronavirus,0.842,63
virus,0.806,34
onset,0.789,6
covid-19_pandemic,0.786,38
disruptive,0.786,3
duration,0.776,23
outbreak,0.774,20
covid,0.77,59
pandemic,0.768,111
erase,0.757,1
disruption,0.751,40
spread,0.737,20
economic,0.72,54
severity,0.714,2
economy,0.714,50
shorter,0.708,3
restriction,0.708,30
horrible,0.704,1
stay-at-home,0.703,16
shorter-term,0.697,2
vis-à-vis,0.692,1
widespread,0.692,1
government-mandated,0.69,3
recover,0.686,18
combat,0.684,4
unpredictable,0.682,3
response,0.68,50
shutdown,0.678,34
encounter,0.674,8
precedent,0.673,1
grapple,0.671,1
far-reaching,0.667,4
radar,0.665,2
screen,0.665,3
gradually,0.662,2
tragedy,0.656,2
booming,0.655,1
covid-9,0.653,1
fight,0.651,7
collapse,0.649,3
heartfelt,0.648,1
unknown,0.646,14
unknowable,0.645,1
ramification,0.644,1
affect,0.644,45
multi-week,0.643,1
spur,0.642,1
situation,0.642,88
recovery,0.641,33
era,0.641,1
impose,0.64,5
fallout,0.637,6
uncertainty,0.637,71
off-line,0.636,1
pose,0.635,1
hardship,0.634,2
predict,0.633,29
finger,0.633,1
life-saving,0.632,4
unrest,0.63,2
infect,0.63,1
twofold,0.63,1
precision,0.629,1
movement,0.626,9
mitigate,0.626,19
restart,0.624,5
unscathed,0.624,1
symptom,0.621,5
enormous,0.62,2
vaccine,0.62,3
unprecedented,0.618,25
encephalopathy,0.617,1
on-premise,0.617,2
temporary,0.616,23
takeout,0.615,2
confront,0.614,1
evolve,0.614,25
rapid,0.614,12
urban,0.612,1
reality,0.61,7
difficult,0.609,53
normalize,0.609,14
holiday,0.608,6
overwhelm,0.608,2
implant,0.608,1
deductible,0.605,2
contrary,0.605,1
contaminant,0.604,1
1q,0.603,1
strain,0.602,2
lift,0.602,9
return-to,0.602,1
chinese,0.601,10
massive,0.598,1
potential,0.597,84
ever-changing,0.595,1
extended,0.594,11
oil-rich,0.594,1
covid-related,0.593,11
elongate,0.593,2
media,0.593,9
adverse,0.593,5
respiratory,0.593,1
china-based,0.591,2
work-at-home,0.591,1
close-downs,0.589,1
gdp-driven,0.589,1
cumulative,0.589,2
outcome,0.588,16
resume,0.588,8
severe,0.588,16
impairmentstudio,0.587,1
contingency,0.586,11
factored,0.585,3
scourge,0.585,1
collective,0.584,4
impossible,0.584,6
chronically,0.583,1
vibrant,0.582,1
country,0.581,60
existent,0.581,1
awful,0.581,1
experiment,0.58,1
defeat,0.58,3
abate,0.58,6
constraint,0.58,5
indirectly,0.579,2
confirm,0.579,14
bend,0.578,1
travel,0.577,35
satisfaction,0.576,1
macroeconomic,0.576,8
emergence,0.575,1
fragile,0.574,1
mobilize,0.573,1
respond,0.572,27
hong,0.572,2
epidemic,0.572,5
middle,0.571,18
service-based,0.571,1
ripple,0.571,3
clearer,0.569,4
pent-up,0.569,4
stoppage,0.569,2
contagion,0.569,2
world,0.569,4
proximity,0.567,1
paramount,0.567,1
surround,0.566,4
forces,0.565,1
accommodate,0.565,4
interruption,0.565,3
subdue,0.564,1
alternate,0.564,2
human,0.564,4
off-premise,0.563,3
materially,0.563,12
scare,0.562,1
worldwide,0.561,12
fluid,0.561,9
60-day,0.561,1
limitation,0.56,12
phenomenon,0.559,6
moody,0.559,5
pathogen,0.559,1
determine,0.556,9
impact_covid-19,0.556,35
consumer-driven,0.556,2
unbelievable,0.556,1
mindful,0.555,3
circumstance,0.555,21
oncology,0.555,9
craf,0.554,1
carlo,0.553,2
spite,0.553,5
dynamic,0.552,20
prebuying,0.551,1
prepare,0.551,30
partners,0.551,1
heavily,0.55,7
war,0.549,5
near-term,0.549,19
preparation,0.548,4
intervention,0.548,6
shipment,0.548,8
inundate,0.548,1
aerosol,0.548,3
behavior,0.547,36
increasingly,0.546,2
erupt,0.546,1
hard,0.545,51
challenge,0.545,75
customary,0.545,1
shut-in,0.545,1
bridge,0.545,5
adversity,0.545,1
doubt,0.543,6
purchasing,0.543,4
interaction,0.543,12
setting,0.542,6
magnitude,0.541,6
wake,0.541,2
battle,0.541,4
easter,0.539,1
devastate,0.539,2
armed,0.539,1
aisle,0.539,3
reset,0.539,4
monte,0.538,2
scrutinize,0.538,1
distancing,0.536,19
region,0.536,32
delay,0.536,68
adapt,0.536,16
off-label,0.536,1
3-week,0.535,2
wait-and-see,0.535,3
intubate,0.534,1
disrupt,0.533,9
devastating,0.533,3
rightfully,0.532,1
slowly,0.531,7
sudden,0.531,5
gate,0.531,2
existential,0.53,1
appellate,0.53,2
reign,0.53,1
constrain,0.529,1
nearby,0.529,1
vulnerable,0.529,5
hum,0.529,1
deviation,0.528,1
verdecoat,0.528,1
treatment,0.528,38
short,0.527,42
life,0.527,19
sooner,0.527,5
ambiguity,0.526,1
covid-19-related,0.526,7
reopen,0.525,30
incredibly,0.525,4
rare,0.525,5
enrollment,0.525,14
motor,0.524,1
border,0.523,9
optimism,0.522,5
