call_title_date,agg_business_operations,agg_community_engagement,agg_cost_cutting,agg_demand,agg_digital_transformation,agg_employees,agg_liquidity,agg_lockdown,agg_new_product_development,agg_others,agg_supply_chain
"Amalgamated Bank, Q1 2020 Earnings Call, Apr 30, 2020 2020-04-30",0.0097,0.0072,0.0065,0.0549,0.0743,0.0221,0.0469,0.0085,0.0417,0.6827,0.0456
"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020 2020-04-07",0.0525,0.0069,0.0112,0.0127,0.0404,0.0515,0.0548,0.0178,0.0965,0.6196,0.0361
"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020 2020-04-30",0.0301,0.01,0.0142,0.0237,0.0313,0.035,0.0265,0.0293,0.0397,0.6746,0.0857
"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020 2020-04-09",0.0082,0.0106,0.0091,0.063,0.0448,0.0212,0.044,0.007,0.0497,0.7096,0.0327
"Brookline Bancorp, Inc., Q1 2020 Earnings Call, Apr 30, 2020 2020-04-30",0.0132,0.0067,0.0443,0.1863,0.0862,0.0246,0.0146,0.0108,0.0621,0.5084,0.0429
"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020 2020-04-30",0.0301,0.0267,0.0099,0.0427,0.0571,0.087,0.0134,0.0787,0.0564,0.5063,0.0917
"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020 2020-04-06",0.0981,0.0147,0.0229,0.0457,0.0485,0.0443,0.0061,0.0146,0.0417,0.5693,0.0941
"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020 2020-04-30",0.0233,0.1916,0.014,0.0203,0.0468,0.0645,0.056,0.0717,0.0435,0.4079,0.0603
"IRadimed Corporation, Q1 2020 Earnings Call, Apr 30, 2020 2020-04-30",0.0163,0.012,0.0062,0.0161,0.0737,0.0188,0.0112,0.0124,0.0479,0.7218,0.0636
"Jaguar Health, Inc., Q4 2019 Earnings Call, Apr 06, 2020 2020-04-06",0.0419,0.0036,0.0071,0.0113,0.0401,0.0151,0.009,0.0165,0.0289,0.7964,0.03
"Levi Strauss  Co., Q1 2020 Earnings Call, Apr 07, 2020 2020-04-07",0.0399,0.0089,0.0104,0.0599,0.0541,0.0826,0.0619,0.0259,0.094,0.4967,0.0657
